dc_key,has_court_case
201519131354,False
201515126717,False
201539104726,False
201518088980,False
201525106510,False
201524126177,False
201522115817,False
201512102008,False
201526068569,False
201518088236,False
201517064398,False
201519129701,False
201519129700,False
201522115250,False
201524125240,False
201524125251,False
201516057688,False
201535112079,False
201525105516,False
201525105528,False
201525105517,False
201525105518,False
201516057687,False
201539103311,False
201539103310,False
201524124899,False
201524124819,False
201539103161,False
201518087703,False
201525105245,False
201517064089,False
201539102975,False
201539102976,False
201514105146,False
201514105035,False
201514105027,False
201524124389,False
201539102594,False
201539102508,False
201539102501,False
201539102511,False
201514104683,False
201539102488,False
201524123849,False
201519128323,False
201525104029,False
201522113549,False
201524123373,False
201524123357,False
201535110535,False
201512099742,False
201502080513,False
201518086358,False
201539101376,False
201535109899,False
201535109898,False
201518085705,False
201539100685,False
201539100668,False
201516056372,False
201512098697,False
201524121362,False
201517062532,False
201525102501,False
201502079533,False
201516056075,False
201516056101,False
201503076369,False
201503076364,False
201526065805,False
201522110975,False
201512097638,False
201524119979,False
201524119971,False
201524119978,False
201502078813,False
201502078804,False
201525101455,False
201522110672,False
201522110656,False
201539098802,False
201526064924,False
201525100495,False
201525100501,False
201517061218,False
201503074927,False
201506057194,False
201514099680,False
201522109065,False
201522108824,False
201518081983,False
201518081775,False
201516054334,False
201539096593,False
201512094627,False
201525098416,False
201522107418,False
201524116460,False
201515116889,False
201516054027,False
201539095819,False
201522106369,False
201512093444,False
201524114681,False
201515115724,False
201515115544,False
201526062552,False
201535102887,False
201526062458,False
201535102649,False
201525096503,False
201524114122,False
201524114066,False
201519119112,False
201515115018,False
201539094438,False
201539094546,False
201535102182,False
201515114701,False
201539093667,False
201515114021,False
201522104191,False
201514094634,False
201526061378,False
201519117262,False
201525094805,False
201512090928,False
201518078119,False
201524111739,False
201502073875,False
201502073894,False
201524111661,False
201524111493,False
201525094422,False
201514093646,False
201514093638,False
201514093639,False
201514093645,False
201518077691,False
201539092100,False
201509048580,False
201524110868,False
201526060490,False
201512090064,False
201516051654,False
201535099395,False
201535099396,False
201514092875,False
201512089745,False
201524109948,False
201512089465,False
201525093192,False
201535098848,False
201515110923,False
201539090659,False
201524109290,False
201518076229,False
201518076219,False
201519113747,False
201503069342,False
201522100540,False
201515109803,False
201516050750,False
201509047293,False
201509047242,False
201539089308,False
201514090748,False
201519112418,False
201525091195,False
201525091102,False
201524106568,False
201526058424,False
201519111978,False
201539088540,False
201508041799,False
201535095602,False
201522098241,False
201525090029,False
201514089443,False
201518073743,False
201514089392,False
201525089718,False
201525089716,False
201525089700,False
201539087658,False
201524105120,False
201522097375,False
201515106345,False
201516048726,False
201522096126,False
201516048412,False
201516048305,False
201519108515,False
201535092635,False
201524102694,False
201525087506,False
201525087110,False
201512083617,False
201524102076,False
201535092046,False
201515103222,False
201512082980,False
201539084412,False
201539088407,False
201535091299,False
201525096520,False
201525096523,False
201519106501,False
201525086406,False
201524100980,False
201502067447,False
201524100794,False
201515102730,False
201514084865,False
201535090650,False
201535090635,False
201535090624,False
201514084563,False
201518070110,False
201535090299,False
201518069394,False
201514984952,False
201535089632,False
201503063756,False
201535089475,False
201503063546,False
201525084519,False
201535088879,False
201512080581,False
201535088823,False
201503063130,False
201535088536,False
